traffic_id,date,time,city_zone,road_type,vehicle_count,avg_speed,weather,visibility,traffic_signal,accident_occurred,accident_severity,road_condition,day_of_week,vehicle_count_norm,avg_speed_norm,visibility_norm
21,2023-10-29,07:00:00,North,Highway,164.0,65.37,Rain,6,Green,1,Minor,Good,Sunday,0.7885926844389336,0.5804591676276339,0.5555555555555556
22,2023-05-23,21:31:00,South,Arterial,47.0,29.59,Snow,7,Green,0,Minor,Fair,Tuesday,0.208307501549907,0.20536743893489884,0.6666666666666665
23,2023-02-19,21:27:00,East,Crossroad,20.0,26.24,Snow,1,Red,0,Minor,Poor,Sunday,0.07439553626782393,0.17024845371632247,0.0
24,2023-11-27,03:03:00,West,Residential,40.0,50.57,Clear,4,Green,0,Minor,Good,Monday,0.1735895846249225,0.4253066359157145,0.3333333333333333
25,2023-03-13,13:11:00,East,Crossroad,56.0,17.9,Rain,9,Green,1,Fatal,Fair,Monday,0.25294482331060136,0.08281790544082189,0.8888888888888888
26,2023-10-04,00:05:00,South,Arterial,56.0,28.92,Snow,4,Red,0,Fatal,Fair,Wednesday,0.25294482331060136,0.1983436418911836,0.3333333333333333
27,2023-01-31,05:24:00,North,Crossroad,36.0,36.89,Fog,4,Red,0,Fatal,Fair,Tuesday,0.15375077495350278,0.28189537687388616,0.3333333333333333
28,2023-10-12,21:45:00,West,Arterial,70.0,39.45,Rain,1,Red,0,Fatal,Good,Thursday,0.32238065716057035,0.30873257154838035,0.0
29,2023-10-05,01:47:00,East,Highway,133.0,76.91,Clear,9,Yellow,0,Fatal,Fair,Thursday,0.6348419094854308,0.7014362092462522,0.8888888888888888
30,2023-09-29,05:03:00,Central,Highway,156.0,71.8,Rain,2,Green,0,Fatal,Poor,Friday,0.7489150650960942,0.647866652688961,0.1111111111111111
31,2023-05-01,12:07:00,Central,Arterial,40.0,38.14,Clear,7,Yellow,0,Fatal,Good,Monday,0.1735895846249225,0.2949994758360415,0.6666666666666665
32,2023-10-17,16:20:00,East,Arterial,27.0,22.43,Fog,4,Green,0,Fatal,Fair,Tuesday,0.10911345319280844,0.1303071600796729,0.3333333333333333
33,2023-11-27,09:29:00,East,Highway,166.0,93.56,Clear,10,Red,0,Fatal,Poor,Monday,0.7985120892746435,0.8759828074221617,1.0
34,2023-02-07,17:13:00,Central,Residential,48.0,40.03,Rain,4,Red,0,Fatal,Good,Tuesday,0.21326720396776194,0.3148128734668204,0.3333333333333333
35,2023-03-22,14:53:00,Central,Residential,57.0,33.55,Clear,5,Yellow,0,Fatal,Poor,Wednesday,0.2579045257284563,0.246881224447007,0.4444444444444445
36,2023-02-23,04:16:00,North,Highway,157.0,76.3,Rain,10,Red,0,Fatal,Fair,Thursday,0.7538747675139491,0.6950414089527204,1.0
37,2023-06-25,06:43:00,East,Crossroad,49.0,44.52,Fog,4,Green,0,Fatal,Good,Sunday,0.21822690638561687,0.36188279693888253,0.3333333333333333
38,2023-01-23,00:21:00,South,Residential,5.0,38.58,Rain,9,Yellow,0,Fatal,Fair,Monday,0.0,0.2996121186707202,0.8888888888888888
39,2023-10-15,00:07:00,North,Arterial,51.0,37.01,Clear,9,Red,0,Fatal,Poor,Sunday,0.22814631122132673,0.28315337037425303,0.8888888888888888
40,2023-03-07,01:19:00,East,Highway,151.0,48.1,Fog,2,Green,0,Fatal,Poor,Tuesday,0.7241165530068195,0.39941293636649544,0.1111111111111111
41,2023-07-01,17:56:00,West,Arterial,45.0,34.86,Rain,7,Green,1,Fatal,Good,Saturday,0.19838809671419713,0.2606143201593458,0.6666666666666665
42,2023-06-20,13:51:00,South,Residential,79.0,27.85,Rain,7,Yellow,0,Fatal,Good,Tuesday,0.3670179789212647,0.18712653317957856,0.6666666666666665
43,2023-08-29,07:12:00,West,Residential,33.0,27.99,Fog,1,Green,0,Fatal,Good,Tuesday,0.138871667699938,0.18859419226333995,0.0
44,2023-07-24,10:17:00,North,Residential,68.0,34.63,Fog,4,Yellow,0,Fatal,Poor,Monday,0.3124612523248605,0.2582031659503093,0.3333333333333333
45,2023-10-02,10:01:00,North,Residential,39.0,36.11,Rain,1,Yellow,1,Major,Fair,Monday,0.16862988220706757,0.2737184191215012,0.0
46,2023-06-26,23:50:00,East,Crossroad,51.0,49.69,Clear,4,Red,0,Major,Poor,Monday,0.22814631122132673,0.41608135024635706,0.3333333333333333
47,2023-12-29,13:00:00,Central,Arterial,35.0,29.38,Fog,3,Red,0,Major,Good,Friday,0.14879107253564786,0.20316595030925672,0.2222222222222222
48,2023-12-06,03:46:00,East,Residential,42.0,20.29,Snow,5,Red,0,Major,Fair,Wednesday,0.18350898946063235,0.10787294265646295,0.4444444444444445
49,2023-04-09,13:42:00,West,Arterial,55.0,34.09,Fog,1,Red,0,Major,Poor,Sunday,0.24798512089274644,0.25254219519865817,0.0
50,2023-04-18,13:50:00,Central,Residential,50.0,30.12,Snow,4,Red,0,Major,Fair,Tuesday,0.2231866088034718,0.2109235768948527,0.3333333333333333
51,2023-03-28,21:05:00,East,Residential,21.0,35.79,Clear,5,Green,0,Major,Poor,Tuesday,0.07935523868567886,0.2703637697871894,0.4444444444444445
52,2023-04-12,04:01:00,North,Arterial,43.0,25.58,Snow,8,Yellow,0,Major,Good,Wednesday,0.18846869187848728,0.16332948946430442,0.7777777777777777
53,2023-11-19,18:12:00,West,Crossroad,46.0,35.23,Snow,1,Green,0,Major,Good,Sunday,0.20334779913205206,0.2644931334521438,0.0
54,2023-02-24,13:14:00,South,Crossroad,87.0,41.75,Clear,2,Yellow,0,Major,Good,Friday,0.4066955982641041,0.3328441136387462,0.1111111111111111
55,2023-08-26,21:33:00,Central,Residential,55.0,31.4,Snow,9,Yellow,0,Major,Poor,Saturday,0.24798512089274644,0.2243421742320998,0.8888888888888888
56,2023-10-08,14:57:00,South,Crossroad,11.0,31.79,Snow,5,Red,0,Major,Good,Sunday,0.02975821450712957,0.22843065310829225,0.4444444444444445
57,2023-09-24,15:40:00,South,Residential,51.0,51.71,Snow,5,Green,0,Major,Poor,Sunday,0.22814631122132673,0.4372575741692001,0.4444444444444445
58,2023-06-21,10:57:00,Central,Highway,146.0,66.41,Rain,7,Green,0,Major,Good,Wednesday,0.6993180409175449,0.5913617779641471,0.6666666666666665
59,2023-12-28,06:04:00,West,Crossroad,49.0,22.65,Fog,4,Yellow,1,Major,Fair,Thursday,0.21822690638561687,0.13261348149701224,0.3333333333333333
60,2023-07-19,18:44:00,North,Crossroad,72.0,38.02,Snow,5,Green,0,Major,Fair,Wednesday,0.3323000619962802,0.29374148233567465,0.4444444444444445
61,2023-08-03,17:47:00,Central,Arterial,65.0,24.72,Snow,7,Green,0,Major,Fair,Thursday,0.2975821450712957,0.15431386937834152,0.6666666666666665
62,2023-07-19,10:42:00,West,Arterial,78.0,20.79,Snow,9,Green,1,Major,Poor,Wednesday,0.36205827650340977,0.11311458224132508,0.8888888888888888
63,2023-10-31,18:42:00,North,Highway,161.0,81.52,Snow,3,Green,1,Major,Fair,Tuesday,0.7737135771853688,0.7497641262186812,0.2222222222222222
64,2023-06-17,06:29:00,East,Residential,30.0,27.47,Snow,5,Red,0,Major,Fair,Saturday,0.12399256044637322,0.1831428870950833,0.4444444444444445
65,2023-08-29,00:47:00,Central,Highway,151.0,59.97,Fog,1,Green,0,Major,Poor,Tuesday,0.7241165530068195,0.5238494601111228,0.0
66,2023-11-30,01:48:00,North,Arterial,18.0,32.55,Rain,3,Green,0,Major,Poor,Thursday,0.06447613143211407,0.2363979452772827,0.2222222222222222
67,2023-08-31,21:07:00,Central,Arterial,28.0,35.79,Snow,6,Yellow,0,Major,Fair,Thursday,0.11407315561066336,0.2703637697871894,0.5555555555555556
68,2023-11-07,23:45:00,North,Arterial,31.0,44.4,Fog,1,Green,0,Major,Poor,Tuesday,0.12895226286422815,0.36062480343851555,0.0
69,2023-10-22,21:58:00,West,Crossroad,34.0,29.42,Rain,4,Green,1,Major,Poor,Sunday,0.14383137011779293,0.2035852814760457,0.3333333333333333
70,2023-12-17,19:51:00,North,Highway,166.0,54.15,Fog,3,Yellow,1,Fatal,Fair,Sunday,0.7985120892746435,0.46283677534332734,0.2222222222222222
71,2023-06-24,00:54:00,West,Crossroad,54.0,53.07,Clear,8,Red,0,Fatal,Fair,Saturday,0.2430254184748915,0.4515148338400251,0.7777777777777777
72,2023-08-11,05:46:00,Central,Residential,17.0,33.48,Snow,10,Red,0,Fatal,Fair,Friday,0.059516429014259145,0.24614739490512627,1.0
73,2023-05-06,02:17:00,West,Arterial,55.0,38.25,Snow,7,Yellow,0,Fatal,Poor,Saturday,0.24798512089274644,0.2961526365447112,0.6666666666666665
74,2023-09-11,10:11:00,West,Arterial,25.0,21.44,Fog,3,Red,0,Fatal,Fair,Monday,0.09919404835709858,0.11992871370164589,0.2222222222222222
75,2023-12-26,08:35:00,North,Arterial,60.0,42.97,Clear,7,Green,0,Fatal,Poor,Tuesday,0.2727836329820211,0.3456337142258098,0.6666666666666665
76,2023-05-04,22:30:00,West,Crossroad,55.0,43.46,Clear,4,Green,0,Fatal,Fair,Thursday,0.24798512089274644,0.35077052101897477,0.3333333333333333
77,2023-05-05,09:42:00,Central,Residential,36.0,33.86,Snow,6,Yellow,0,Fatal,Poor,Friday,0.15375077495350278,0.2501310409896215,0.5555555555555556
78,2023-10-09,10:22:00,West,Residential,55.0,26.29,Fog,1,Red,0,Fatal,Good,Monday,0.24798512089274644,0.17077261767480867,0.0
79,2023-06-11,03:47:00,Central,Arterial,87.0,35.79,Rain,8,Green,0,Fatal,Poor,Sunday,0.4066955982641041,0.2703637697871894,0.7777777777777777
80,2023-10-29,16:38:00,East,Highway,126.0,69.25,Rain,6,Red,0,Fatal,Good,Sunday,0.6001239925604464,0.6211342908061642,0.5555555555555556
81,2023-01-08,22:34:00,South,Residential,30.0,47.87,Clear,5,Green,0,Fatal,Poor,Sunday,0.12399256044637322,0.39700178215745885,0.4444444444444445
82,2023-03-06,20:55:00,West,Highway,173.0,71.79,Clear,8,Yellow,0,Fatal,Fair,Monday,0.833230006199628,0.6477618198972639,0.7777777777777777
83,2023-06-24,05:03:00,East,Crossroad,69.0,44.13,Clear,8,Green,0,Fatal,Fair,Saturday,0.3174209547427154,0.35779431806269,0.7777777777777777
84,2023-11-19,21:03:00,South,Arterial,66.0,47.17,Fog,1,Green,0,Fatal,Good,Sunday,0.30254184748915064,0.38966348673865187,0.0
85,2023-08-02,19:38:00,Central,Arterial,45.0,25.97,Snow,5,Red,0,Fatal,Fair,Wednesday,0.19838809671419713,0.16741796834049688,0.4444444444444445
86,2023-08-08,09:36:00,Central,Highway,132.0,71.84,Clear,4,Green,0,Fatal,Poor,Tuesday,0.6298822070675759,0.6482859838557501,0.3333333333333333
87,2023-02-11,05:15:00,South,Highway,148.0,66.73,Rain,8,Green,0,Fatal,Fair,Saturday,0.7092374457532548,0.594716427298459,0.7777777777777777
88,2023-08-29,09:02:00,South,Residential,55.0,38.62,Fog,1,Yellow,0,Fatal,Fair,Tuesday,0.24798512089274644,0.3000314498375091,0.0
89,2023-05-16,20:37:00,South,Crossroad,50.0,54.54,Clear,3,Yellow,0,Fatal,Good,Tuesday,0.2231866088034718,0.4669252542195199,0.2222222222222222
90,2023-03-14,02:03:00,South,Residential,44.0,53.76,Fog,4,Red,0,Fatal,Good,Tuesday,0.1934283942963422,0.4587482964671349,0.3333333333333333
91,2023-12-25,12:17:00,Central,Crossroad,62.0,25.14,Snow,1,Green,0,Fatal,Poor,Monday,0.28270303781773093,0.15871684662962576,0.0
92,2023-06-15,19:16:00,North,Highway,128.0,67.86,Rain,10,Yellow,0,Fatal,Poor,Thursday,0.6100433973961562,0.6065625327602474,1.0
93,2023-12-11,08:36:00,North,Arterial,45.0,37.71,Snow,8,Yellow,0,Fatal,Poor,Monday,0.19838809671419713,0.29049166579306007,0.7777777777777777
94,2023-04-03,18:27:00,West,Highway,159.0,63.42,Snow,6,Red,0,Fatal,Fair,Monday,0.763794172349659,0.5600167732466715,0.5555555555555556
95,2023-02-23,05:21:00,West,Crossroad,33.0,19.88,Fog,1,Yellow,0,Fatal,Fair,Thursday,0.138871667699938,0.10357479819687597,0.0
96,2023-06-11,08:20:00,North,Crossroad,41.0,48.56,Clear,8,Yellow,0,Fatal,Poor,Sunday,0.17854928704277742,0.4042352447845686,0.7777777777777777
97,2023-04-07,16:23:00,Central,Crossroad,54.0,22.03,Snow,5,Green,0,Fatal,Good,Friday,0.2430254184748915,0.12611384841178325,0.4444444444444445
98,2023-05-28,14:56:00,West,Highway,153.0,83.85,Clear,4,Yellow,0,Fatal,Poor,Sunday,0.7340359578425294,0.7741901666841388,0.3333333333333333
99,2023-06-09,17:00:00,Central,Crossroad,32.0,41.54,Clear,8,Green,0,Fatal,Good,Friday,0.13391196528208307,0.3306426250131041,0.7777777777777777
100,2023-11-28,04:31:00,East,Residential,51.0,22.86,Snow,4,Red,0,Fatal,Fair,Tuesday,0.22814631122132673,0.13481497012265437,0.3333333333333333
101,2023-03-16,12:12:00,Central,Arterial,57.0,45.61,Clear,6,Red,0,Fatal,Fair,Thursday,0.2579045257284563,0.373309571233882,0.5555555555555556
102,2023-09-17,08:52:00,North,Residential,71.0,40.43,Fog,4,Yellow,0,Fatal,Poor,Sunday,0.3273403595784253,0.31900618513471013,0.3333333333333333
103,2023-08-17,17:30:00,East,Residential,22.0,24.5,Snow,4,Red,0,Fatal,Fair,Thursday,0.08431494110353378,0.1520075479610022,0.3333333333333333
104,2023-05-03,18:24:00,South,Crossroad,60.0,45.14,Clear,8,Red,0,Fatal,Poor,Wednesday,0.2727836329820211,0.36838243002411153,0.7777777777777777
105,2023-07-15,12:42:00,South,Crossroad,60.0,78.53,Clear,10,Green,0,Fatal,Poor,Saturday,0.2727836329820211,0.7184191215012056,1.0
106,2023-02-21,14:06:00,Central,Crossroad,61.0,51.36,Clear,7,Yellow,0,Fatal,Good,Tuesday,0.277743335399876,0.43358842645979667,0.6666666666666665
107,2023-03-21,02:30:00,East,Residential,69.0,37.21,Snow,6,Yellow,0,Fatal,Good,Tuesday,0.3174209547427154,0.28525002620819795,0.5555555555555556
108,2023-10-01,12:20:00,West,Highway,143.0,87.59,Clear,5,Green,0,Fatal,Poor,Sunday,0.6844389336639801,0.8133976307789077,0.4444444444444445
109,2023-02-16,13:06:00,North,Crossroad,34.0,30.11,Rain,1,Yellow,1,Minor,Fair,Thursday,0.14383137011779293,0.21081874410315543,0.0
110,2023-05-31,11:23:00,West,Arterial,40.0,32.65,Rain,10,Yellow,0,Minor,Fair,Wednesday,0.1735895846249225,0.23744627319425515,1.0
111,2023-04-03,05:11:00,North,Crossroad,96.0,17.06,Rain,3,Red,0,Minor,Poor,Monday,0.4513329200247985,0.07401195093825348,0.2222222222222222
112,2023-11-23,08:29:00,East,Highway,163.0,51.1,Snow,9,Red,0,Minor,Poor,Thursday,0.7836329820210787,0.4308627738756683,0.8888888888888888
113,2023-08-15,11:37:00,East,Crossroad,40.0,40.71,Fog,2,Red,0,Minor,Fair,Tuesday,0.1735895846249225,0.3219415033022329,0.1111111111111111
114,2023-09-05,03:15:00,West,Residential,51.0,23.38,Fog,1,Yellow,0,Minor,Fair,Tuesday,0.22814631122132673,0.140266275290911,0.0
115,2023-12-04,12:17:00,North,Highway,135.0,69.44,Snow,10,Red,0,Minor,Good,Monday,0.6447613143211407,0.6231261138484118,1.0
116,2023-04-23,20:12:00,Central,Residential,35.0,33.73,Rain,1,Yellow,0,Minor,Good,Sunday,0.14879107253564786,0.24876821469755733,0.0
117,2023-08-14,01:37:00,East,Arterial,50.0,33.48,Clear,7,Red,0,Minor,Fair,Monday,0.2231866088034718,0.24614739490512627,0.6666666666666665
118,2023-03-09,17:56:00,East,Residential,92.0,37.07,Rain,5,Red,0,Minor,Fair,Thursday,0.43149411035337876,0.2837823671244365,0.4444444444444445
119,2023-06-23,03:29:00,North,Arterial,9.0,33.49,Rain,7,Yellow,0,Minor,Poor,Friday,0.019838809671419714,0.2462522276968236,0.6666666666666665
120,2023-10-13,11:05:00,West,Highway,136.0,70.82,Fog,4,Yellow,0,Minor,Good,Friday,0.6497210167389956,0.6375930391026312,0.3333333333333333
121,2023-12-11,08:37:00,West,Residential,34.0,38.85,Clear,8,Yellow,1,Fatal,Good,Monday,0.14383137011779293,0.30244260404654577,0.7777777777777777
122,2023-06-17,19:14:00,North,Crossroad,60.0,38.93,Fog,1,Yellow,1,Minor,Fair,Saturday,0.2727836329820211,0.3032812663801237,0.0
123,2023-06-05,15:07:00,North,Arterial,25.0,29.32,Rain,6,Red,0,Minor,Fair,Monday,0.09919404835709858,0.20253695355907325,0.5555555555555556
124,2023-12-23,17:26:00,Central,Arterial,40.0,26.77,Snow,8,Yellow,0,Minor,Good,Saturday,0.1735895846249225,0.17580459167627632,0.7777777777777777
125,2023-05-24,01:44:00,East,Arterial,85.0,35.24,Snow,6,Red,1,Fatal,Good,Wednesday,0.39677619342839426,0.2645979662438411,0.5555555555555556
126,2023-07-08,17:57:00,East,Highway,124.0,71.34,Snow,2,Red,0,Fatal,Good,Saturday,0.5902045877247365,0.643044344270888,0.1111111111111111
127,2023-08-21,02:42:00,South,Highway,192.0,90.32,Clear,3,Red,0,Fatal,Good,Monday,0.9274643521388717,0.8420169829122549,0.2222222222222222
128,2023-04-16,02:53:00,Central,Arterial,19.0,28.13,Rain,3,Green,0,Fatal,Fair,Sunday,0.069435833849969,0.19006185134710135,0.2222222222222222
129,2023-11-02,00:17:00,South,Arterial,75.0,26.34,Fog,1,Green,1,Major,Good,Thursday,0.347179169249845,0.17129678163329487,0.0
130,2023-05-02,18:20:00,North,Arterial,58.0,38.2,Fog,4,Green,0,Major,Good,Tuesday,0.2628642281463112,0.295628472586225,0.3333333333333333
131,2023-02-02,15:28:00,East,Highway,131.0,63.52,Snow,10,Yellow,1,Fatal,Good,Thursday,0.624922504649721,0.561065101163644,1.0
132,2023-09-24,09:29:00,North,Highway,85.0,55.8,Snow,2,Red,0,Fatal,Fair,Sunday,0.39677619342839426,0.48013418597337243,0.1111111111111111
133,2023-08-16,02:57:00,North,Residential,44.0,22.02,Rain,5,Green,0,Fatal,Good,Wednesday,0.1934283942963422,0.12600901562008598,0.4444444444444445
134,2023-10-27,17:45:00,East,Crossroad,82.0,20.56,Fog,4,Red,1,Fatal,Poor,Friday,0.3818970861748295,0.11070342803228848,0.3333333333333333
135,2023-02-28,20:41:00,Central,Arterial,41.0,33.05,Snow,7,Red,0,Fatal,Good,Tuesday,0.17854928704277742,0.24163958486214482,0.6666666666666665
136,2023-08-21,12:26:00,North,Residential,78.0,20.51,Snow,5,Red,0,Fatal,Poor,Monday,0.36205827650340977,0.11017926407380231,0.4444444444444445
137,2023-03-20,21:59:00,West,Highway,173.0,80.1,Clear,7,Green,0,Fatal,Good,Monday,0.833230006199628,0.7348778697976727,0.6666666666666665
138,2023-07-10,04:35:00,North,Residential,30.0,44.62,Clear,7,Red,0,Fatal,Fair,Monday,0.12399256044637322,0.3629311248558549,0.6666666666666665
139,2023-01-27,09:38:00,East,Residential,53.0,34.0,Clear,4,Yellow,0,Fatal,Poor,Friday,0.23806571605703658,0.251598700073383,0.3333333333333333
140,2023-09-04,07:54:00,North,Residential,51.0,28.92,Fog,2,Green,0,Fatal,Fair,Monday,0.22814631122132673,0.1983436418911836,0.1111111111111111
141,2023-10-15,19:39:00,Central,Highway,152.0,69.3,Fog,3,Green,0,Fatal,Good,Sunday,0.7290762554246745,0.6216584547646503,0.2222222222222222
142,2023-06-08,10:22:00,North,Arterial,81.0,22.1,Rain,7,Yellow,1,Fatal,Poor,Thursday,0.37693738375697455,0.12684767795366392,0.6666666666666665
143,2023-11-21,00:05:00,Central,Arterial,92.0,16.38,Snow,6,Red,0,Fatal,Fair,Tuesday,0.43149411035337876,0.06688332110284097,0.5555555555555556
144,2023-06-09,23:20:00,Central,Highway,146.0,85.88,Clear,10,Green,1,Minor,Good,Friday,0.6993180409175449,0.795471223398679,1.0
145,2023-05-20,14:42:00,West,Crossroad,55.0,27.02,Snow,4,Red,0,Minor,Fair,Saturday,0.24798512089274644,0.17842541146870738,0.3333333333333333
146,2023-02-28,11:27:00,North,Residential,45.0,28.06,Snow,5,Yellow,1,Major,Poor,Tuesday,0.19838809671419713,0.18932802180522068,0.4444444444444445
147,2023-11-03,01:00:00,South,Residential,38.0,38.8,Rain,5,Green,0,Major,Fair,Friday,0.16367017978921264,0.3019184400880595,0.4444444444444445
148,2023-01-04,15:47:00,West,Arterial,57.0,26.46,Rain,4,Red,0,Major,Poor,Wednesday,0.2579045257284563,0.1725547751336618,0.3333333333333333
149,2023-12-09,11:04:00,West,Highway,167.0,66.46,Snow,2,Green,0,Major,Fair,Saturday,0.8034717916924984,0.5918859419226333,0.1111111111111111
150,2023-10-22,13:36:00,West,Crossroad,66.0,37.04,Fog,1,Green,0,Major,Fair,Sunday,0.30254184748915064,0.28346786874934476,0.0
151,2023-03-29,19:29:00,East,Highway,133.0,59.52,Snow,7,Green,0,Major,Good,Wednesday,0.6348419094854308,0.5191319844847468,0.6666666666666665
152,2023-09-26,02:25:00,East,Residential,64.0,36.88,Rain,2,Red,0,Major,Good,Tuesday,0.2926224426534408,0.28179054408218895,0.1111111111111111
153,2023-02-28,16:32:00,South,Residential,49.0,32.94,Fog,2,Yellow,0,Major,Poor,Tuesday,0.21822690638561687,0.24048642415347515,0.1111111111111111
154,2023-03-16,08:12:00,South,Arterial,75.0,34.08,Clear,8,Green,0,Major,Poor,Thursday,0.347179169249845,0.25243736240696085,0.7777777777777777
155,2023-10-16,18:28:00,Central,Residential,60.0,30.38,Fog,1,Green,0,Major,Fair,Monday,0.2727836329820211,0.21364922947898102,0.0
156,2023-11-20,09:50:00,East,Highway,145.0,72.79,Fog,3,Yellow,0,Major,Good,Monday,0.69435833849969,0.6582450990669882,0.2222222222222222
157,2023-01-20,01:23:00,East,Highway,166.0,88.14,Clear,9,Yellow,0,Major,Poor,Friday,0.7985120892746435,0.819163434322256,0.8888888888888888
158,2023-10-25,17:50:00,North,Crossroad,76.0,32.17,Rain,8,Red,0,Major,Poor,Wednesday,0.3521388716676999,0.2324142991927875,0.7777777777777777
159,2023-02-01,14:06:00,East,Highway,163.0,61.52,Rain,8,Green,0,Major,Good,Wednesday,0.7836329820210787,0.5400985428241954,0.7777777777777777
160,2023-09-26,16:39:00,South,Residential,56.0,30.96,Fog,4,Red,0,Major,Fair,Tuesday,0.25294482331060136,0.21972953139742113,0.3333333333333333
161,2023-12-14,19:03:00,East,Highway,151.0,68.76,Fog,4,Green,0,Major,Poor,Thursday,0.7241165530068195,0.6159974840129994,0.3333333333333333
162,2023-12-03,19:55:00,South,Residential,33.0,60.92,Clear,3,Yellow,0,Major,Poor,Sunday,0.138871667699938,0.5338085753223608,0.2222222222222222
163,2023-06-08,20:44:00,West,Arterial,29.0,27.86,Clear,7,Red,0,Major,Poor,Thursday,0.11903285802851829,0.18723136597127582,0.6666666666666665
164,2023-06-18,04:42:00,Central,Highway,173.0,70.33,Snow,1,Yellow,0,Major,Fair,Sunday,0.833230006199628,0.6324562323094663,0.0
165,2023-04-03,06:21:00,West,Arterial,62.0,37.03,Rain,2,Green,0,Major,Good,Monday,0.28270303781773093,0.28336303595764756,0.1111111111111111
166,2023-02-21,16:49:00,Central,Highway,149.0,56.82,Fog,4,Yellow,0,Major,Good,Tuesday,0.7141971481711097,0.4908271307264912,0.3333333333333333
167,2023-04-03,22:49:00,Central,Arterial,51.0,26.58,Snow,6,Green,0,Major,Fair,Monday,0.22814631122132673,0.17381276863402872,0.5555555555555556
168,2023-05-02,14:39:00,East,Crossroad,69.0,30.82,Rain,5,Yellow,0,Major,Good,Tuesday,0.3174209547427154,0.21826187231365973,0.4444444444444445
169,2023-08-29,06:23:00,Central,Crossroad,33.0,29.43,Snow,9,Red,0,Major,Fair,Tuesday,0.138871667699938,0.20369011426774292,0.8888888888888888
170,2023-03-24,06:51:00,Central,Arterial,58.0,27.49,Fog,4,Green,0,Major,Poor,Friday,0.2628642281463112,0.18335255267847783,0.3333333333333333
171,2023-10-11,03:45:00,Central,Highway,133.0,65.95,Fog,3,Green,0,Major,Good,Wednesday,0.6348419094854308,0.586539469546074,0.2222222222222222
172,2023-09-20,04:53:00,West,Highway,154.0,59.94,Rain,1,Red,0,Major,Fair,Wednesday,0.7389956602603843,0.523534961736031,0.0
