traffic_id,date,time,city_zone,road_type,vehicle_count,avg_speed,weather,visibility,traffic_signal,accident_occurred,accident_severity,road_condition,day_of_week
29,2023-10-05,01:47:00,East,Highway,133,76.91,Clear,9,Yellow,0,None,Fair,Thursday
30,2023-09-29,05:03:00,Central,Highway,156,71.8,Rain,2,Green,0,None,Poor,Friday
31,2023-05-01,12:07:00,Central,Arterial,40,38.14,Clear,7,Yellow,0,None,Good,Monday
32,2023-10-17,16:20:00,East,Arterial,27,22.43,Fog,4,Green,0,None,Fair,Tuesday
33,2023-11-27,09:29:00,East,Highway,166,93.56,Clear,10,Red,0,None,Poor,Monday
34,2023-02-07,17:13:00,Central,Residential,48,40.03,Rain,4,Red,0,None,Good,Tuesday
35,2023-03-22,14:53:00,Central,Residential,57,33.55,Clear,5,Yellow,0,None,Poor,Wednesday
36,2023-02-23,04:16:00,North,Highway,157,76.3,Rain,10,Red,0,None,Fair,Thursday
37,2023-06-25,06:43:00,East,Crossroad,49,44.52,Fog,4,Green,0,None,Good,Sunday
38,2023-01-23,00:21:00,South,Residential,5,38.58,Rain,9,Yellow,0,None,Fair,Monday
39,2023-10-15,00:07:00,North,Arterial,51,37.01,Clear,9,Red,0,None,Poor,Sunday
40,2023-03-07,01:19:00,East,Highway,151,48.1,Fog,2,Green,0,None,Poor,Tuesday
41,2023-07-01,17:56:00,West,Arterial,45,34.86,Rain,7,Green,1,Fatal,Good,Saturday
42,2023-06-20,13:51:00,South,Residential,79,27.85,Rain,7,Yellow,0,None,Good,Tuesday
43,2023-08-29,07:12:00,West,Residential,33,27.99,Fog,1,Green,0,None,Good,Tuesday
44,2023-07-24,10:17:00,North,Residential,68,34.63,Fog,4,Yellow,0,None,Poor,Monday
45,2023-10-02,10:01:00,North,Residential,39,36.11,Rain,1,Yellow,1,Major,Fair,Monday
46,2023-06-26,23:50:00,East,Crossroad,51,49.69,Clear,4,Red,0,None,Poor,Monday
47,2023-12-29,13:00:00,Central,Arterial,35,29.38,Fog,3,Red,0,None,Good,Friday
48,2023-12-06,03:46:00,East,Residential,42,20.29,Snow,5,Red,0,None,Fair,Wednesday
49,2023-04-09,13:42:00,West,Arterial,55,34.09,Fog,1,Red,0,None,Poor,Sunday
50,2023-04-18,13:50:00,Central,Residential,50,30.12,Snow,4,Red,0,None,Fair,Tuesday
51,2023-03-28,21:05:00,East,Residential,21,35.79,Clear,5,Green,0,None,Poor,Tuesday
52,2023-04-12,04:01:00,North,Arterial,43,25.58,Snow,8,Yellow,0,None,Good,Wednesday
53,2023-11-19,18:12:00,West,Crossroad,46,35.23,Snow,1,Green,0,None,Good,Sunday
54,2023-02-24,13:14:00,South,Crossroad,87,41.75,Clear,2,Yellow,0,None,Good,Friday
55,2023-08-26,21:33:00,Central,Residential,55,31.4,Snow,9,Yellow,0,None,Poor,Saturday
56,2023-10-08,14:57:00,South,Crossroad,11,31.79,Snow,5,Red,0,None,Good,Sunday
57,2023-09-24,15:40:00,South,Residential,51,51.71,Snow,5,Green,0,None,Poor,Sunday
58,2023-06-21,10:57:00,Central,Highway,146,66.41,Rain,7,Green,0,None,Good,Wednesday
59,2023-12-28,06:04:00,West,Crossroad,49,22.65,Fog,4,Yellow,1,Major,Fair,Thursday
60,2023-07-19,18:44:00,North,Crossroad,72,38.02,Snow,5,Green,0,None,Fair,Wednesday
61,2023-08-03,17:47:00,Central,Arterial,65,24.72,Snow,7,Green,0,None,Fair,Thursday
62,2023-07-19,10:42:00,West,Arterial,78,20.79,Snow,9,Green,1,Major,Poor,Wednesday
63,2023-10-31,18:42:00,North,Highway,161,81.52,Snow,3,Green,1,Major,Fair,Tuesday
64,2023-06-17,06:29:00,East,Residential,30,27.47,Snow,5,Red,0,None,Fair,Saturday
65,2023-08-29,00:47:00,Central,Highway,151,59.97,Fog,1,Green,0,None,Poor,Tuesday
66,2023-11-30,01:48:00,North,Arterial,18,32.55,Rain,3,Green,0,None,Poor,Thursday
67,2023-08-31,21:07:00,Central,Arterial,28,35.79,Snow,6,Yellow,0,None,Fair,Thursday
68,2023-11-07,23:45:00,North,Arterial,31,44.4,Fog,1,Green,0,None,Poor,Tuesday
69,2023-10-22,21:58:00,West,Crossroad,34,29.42,Rain,4,Green,1,Major,Poor,Sunday
70,2023-12-17,19:51:00,North,Highway,166,54.15,Fog,3,Yellow,1,Fatal,Fair,Sunday
71,2023-06-24,00:54:00,West,Crossroad,54,53.07,Clear,8,Red,0,None,Fair,Saturday
72,2023-08-11,05:46:00,Central,Residential,17,33.48,Snow,10,Red,0,None,Fair,Friday
73,2023-05-06,02:17:00,West,Arterial,55,38.25,Snow,7,Yellow,0,None,Poor,Saturday
74,2023-09-11,10:11:00,West,Arterial,25,21.44,Fog,3,Red,0,None,Fair,Monday
75,2023-12-26,08:35:00,North,Arterial,60,42.97,Clear,7,Green,0,None,Poor,Tuesday
76,2023-05-04,22:30:00,West,Crossroad,55,43.46,Clear,4,Green,0,None,Fair,Thursday
77,2023-05-05,09:42:00,Central,Residential,36,33.86,Snow,6,Yellow,0,None,Poor,Friday
78,2023-10-09,10:22:00,West,Residential,55,26.29,Fog,1,Red,0,None,Good,Monday
79,2023-06-11,03:47:00,Central,Arterial,87,35.79,Rain,8,Green,0,None,Poor,Sunday
80,2023-10-29,16:38:00,East,Highway,126,69.25,Rain,6,Red,0,None,Good,Sunday
81,2023-01-08,22:34:00,South,Residential,30,47.87,Clear,5,Green,0,None,Poor,Sunday
82,2023-03-06,20:55:00,West,Highway,173,71.79,Clear,8,Yellow,0,None,Fair,Monday
83,2023-06-24,05:03:00,East,Crossroad,69,44.13,Clear,8,Green,0,None,Fair,Saturday
84,2023-11-19,21:03:00,South,Arterial,66,47.17,Fog,1,Green,0,None,Good,Sunday
85,2023-08-02,19:38:00,Central,Arterial,45,25.97,Snow,5,Red,0,None,Fair,Wednesday
86,2023-08-08,09:36:00,Central,Highway,132,71.84,Clear,4,Green,0,None,Poor,Tuesday
87,2023-02-11,05:15:00,South,Highway,148,66.73,Rain,8,Green,0,None,Fair,Saturday
88,2023-08-29,09:02:00,South,Residential,55,38.62,Fog,1,Yellow,0,None,Fair,Tuesday
89,2023-05-16,20:37:00,South,Crossroad,50,54.54,Clear,3,Yellow,0,None,Good,Tuesday
90,2023-03-14,02:03:00,South,Residential,44,53.76,Fog,4,Red,0,None,Good,Tuesday
91,2023-12-25,12:17:00,Central,Crossroad,62,25.14,Snow,1,Green,0,None,Poor,Monday
92,2023-06-15,19:16:00,North,Highway,128,67.86,Rain,10,Yellow,0,None,Poor,Thursday
93,2023-12-11,08:36:00,North,Arterial,45,37.71,Snow,8,Yellow,0,None,Poor,Monday
94,2023-04-03,18:27:00,West,Highway,159,63.42,Snow,6,Red,0,None,Fair,Monday
95,2023-02-23,05:21:00,West,Crossroad,33,19.88,Fog,1,Yellow,0,None,Fair,Thursday
96,2023-06-11,08:20:00,North,Crossroad,41,48.56,Clear,8,Yellow,0,None,Poor,Sunday
97,2023-04-07,16:23:00,Central,Crossroad,54,22.03,Snow,5,Green,0,None,Good,Friday
98,2023-05-28,14:56:00,West,Highway,153,83.85,Clear,4,Yellow,0,None,Poor,Sunday
99,2023-06-09,17:00:00,Central,Crossroad,32,41.54,Clear,8,Green,0,None,Good,Friday
100,2023-11-28,04:31:00,East,Residential,51,22.86,Snow,4,Red,0,None,Fair,Tuesday
101,2023-03-16,12:12:00,Central,Arterial,57,45.61,Clear,6,Red,0,None,Fair,Thursday
102,2023-09-17,08:52:00,North,Residential,71,40.43,Fog,4,Yellow,0,None,Poor,Sunday
103,2023-08-17,17:30:00,East,Residential,22,24.5,Snow,4,Red,0,None,Fair,Thursday
104,2023-05-03,18:24:00,South,Crossroad,60,45.14,Clear,8,Red,0,None,Poor,Wednesday
105,2023-07-15,12:42:00,South,Crossroad,60,78.53,Clear,10,Green,0,None,Poor,Saturday
106,2023-02-21,14:06:00,Central,Crossroad,61,51.36,Clear,7,Yellow,0,None,Good,Tuesday
107,2023-03-21,02:30:00,East,Residential,69,37.21,Snow,6,Yellow,0,None,Good,Tuesday
108,2023-10-01,12:20:00,West,Highway,143,87.59,Clear,5,Green,0,None,Poor,Sunday
109,2023-02-16,13:06:00,North,Crossroad,34,30.11,Rain,1,Yellow,1,Minor,Fair,Thursday
110,2023-05-31,11:23:00,West,Arterial,40,32.65,Rain,10,Yellow,0,None,Fair,Wednesday
111,2023-04-03,05:11:00,North,Crossroad,96,17.06,Rain,3,Red,0,None,Poor,Monday
112,2023-11-23,08:29:00,East,Highway,163,51.1,Snow,9,Red,0,None,Poor,Thursday
113,2023-08-15,11:37:00,East,Crossroad,40,40.71,Fog,2,Red,0,None,Fair,Tuesday
114,2023-09-05,03:15:00,West,Residential,51,23.38,Fog,1,Yellow,0,None,Fair,Tuesday
115,2023-12-04,12:17:00,North,Highway,135,69.44,Snow,10,Red,0,None,Good,Monday
116,2023-04-23,20:12:00,Central,Residential,35,33.73,Rain,1,Yellow,0,None,Good,Sunday
117,2023-08-14,01:37:00,East,Arterial,50,33.48,Clear,7,Red,0,None,Fair,Monday
118,2023-03-09,17:56:00,East,Residential,92,37.07,Rain,5,Red,0,None,Fair,Thursday
119,2023-06-23,03:29:00,North,Arterial,9,33.49,Rain,7,Yellow,0,None,Poor,Friday
120,2023-10-13,11:05:00,West,Highway,136,70.82,Fog,4,Yellow,0,None,Good,Friday
121,2023-12-11,08:37:00,West,Residential,34,38.85,Clear,8,Yellow,1,Fatal,Good,Monday
122,2023-06-17,19:14:00,North,Crossroad,60,38.93,Fog,1,Yellow,1,Minor,Fair,Saturday
123,2023-06-05,15:07:00,North,Arterial,25,29.32,Rain,6,Red,0,None,Fair,Monday
124,2023-12-23,17:26:00,Central,Arterial,40,26.77,Snow,8,Yellow,0,None,Good,Saturday
125,2023-05-24,01:44:00,East,Arterial,85,35.24,Snow,6,Red,1,Fatal,Good,Wednesday
126,2023-07-08,17:57:00,East,Highway,124,71.34,Snow,2,Red,0,None,Good,Saturday
127,2023-08-21,02:42:00,South,Highway,192,90.32,Clear,3,Red,0,None,Good,Monday
128,2023-04-16,02:53:00,Central,Arterial,19,28.13,Rain,3,Green,0,None,Fair,Sunday
129,2023-11-02,00:17:00,South,Arterial,75,26.34,Fog,1,Green,1,Major,Good,Thursday
130,2023-05-02,18:20:00,North,Arterial,58,38.2,Fog,4,Green,0,None,Good,Tuesday
131,2023-02-02,15:28:00,East,Highway,131,63.52,Snow,10,Yellow,1,Fatal,Good,Thursday
132,2023-09-24,09:29:00,North,Highway,85,55.8,Snow,2,Red,0,None,Fair,Sunday
133,2023-08-16,02:57:00,North,Residential,44,22.02,Rain,5,Green,0,None,Good,Wednesday
134,2023-10-27,17:45:00,East,Crossroad,82,20.56,Fog,4,Red,1,Fatal,Poor,Friday
135,2023-02-28,20:41:00,Central,Arterial,41,33.05,Snow,7,Red,0,None,Good,Tuesday
136,2023-08-21,12:26:00,North,Residential,78,20.51,Snow,5,Red,0,None,Poor,Monday
137,2023-03-20,21:59:00,West,Highway,173,80.1,Clear,7,Green,0,None,Good,Monday
138,2023-07-10,04:35:00,North,Residential,30,44.62,Clear,7,Red,0,None,Fair,Monday
139,2023-01-27,09:38:00,East,Residential,53,34.0,Clear,4,Yellow,0,None,Poor,Friday
140,2023-09-04,07:54:00,North,Residential,51,28.92,Fog,2,Green,0,None,Fair,Monday
141,2023-10-15,19:39:00,Central,Highway,152,69.3,Fog,3,Green,0,None,Good,Sunday
142,2023-06-08,10:22:00,North,Arterial,81,22.1,Rain,7,Yellow,1,Fatal,Poor,Thursday
143,2023-11-21,00:05:00,Central,Arterial,92,16.38,Snow,6,Red,0,None,Fair,Tuesday
144,2023-06-09,23:20:00,Central,Highway,146,85.88,Clear,10,Green,1,Minor,Good,Friday
145,2023-05-20,14:42:00,West,Crossroad,55,27.02,Snow,4,Red,0,None,Fair,Saturday
146,2023-02-28,11:27:00,North,Residential,45,28.06,Snow,5,Yellow,1,Major,Poor,Tuesday
147,2023-11-03,01:00:00,South,Residential,38,38.8,Rain,5,Green,0,None,Fair,Friday
148,2023-01-04,15:47:00,West,Arterial,57,26.46,Rain,4,Red,0,None,Poor,Wednesday
149,2023-12-09,11:04:00,West,Highway,167,66.46,Snow,2,Green,0,None,Fair,Saturday
150,2023-10-22,13:36:00,West,Crossroad,66,37.04,Fog,1,Green,0,None,Fair,Sunday
151,2023-03-29,19:29:00,East,Highway,133,59.52,Snow,7,Green,0,None,Good,Wednesday
152,2023-09-26,02:25:00,East,Residential,64,36.88,Rain,2,Red,0,None,Good,Tuesday
153,2023-02-28,16:32:00,South,Residential,49,32.94,Fog,2,Yellow,0,None,Poor,Tuesday
154,2023-03-16,08:12:00,South,Arterial,75,34.08,Clear,8,Green,0,None,Poor,Thursday
155,2023-10-16,18:28:00,Central,Residential,60,30.38,Fog,1,Green,0,None,Fair,Monday
156,2023-11-20,09:50:00,East,Highway,145,72.79,Fog,3,Yellow,0,None,Good,Monday
157,2023-01-20,01:23:00,East,Highway,166,88.14,Clear,9,Yellow,0,None,Poor,Friday
158,2023-10-25,17:50:00,North,Crossroad,76,32.17,Rain,8,Red,0,None,Poor,Wednesday
159,2023-02-01,14:06:00,East,Highway,163,61.52,Rain,8,Green,0,None,Good,Wednesday
160,2023-09-26,16:39:00,South,Residential,56,30.96,Fog,4,Red,0,None,Fair,Tuesday
161,2023-12-14,19:03:00,East,Highway,151,68.76,Fog,4,Green,0,None,Poor,Thursday
162,2023-12-03,19:55:00,South,Residential,33,60.92,Clear,3,Yellow,0,None,Poor,Sunday
163,2023-06-08,20:44:00,West,Arterial,29,27.86,Clear,7,Red,0,None,Poor,Thursday
164,2023-06-18,04:42:00,Central,Highway,173,70.33,Snow,1,Yellow,0,None,Fair,Sunday
165,2023-04-03,06:21:00,West,Arterial,62,37.03,Rain,2,Green,0,None,Good,Monday
166,2023-02-21,16:49:00,Central,Highway,149,56.82,Fog,4,Yellow,0,None,Good,Tuesday
167,2023-04-03,22:49:00,Central,Arterial,51,26.58,Snow,6,Green,0,None,Fair,Monday
168,2023-05-02,14:39:00,East,Crossroad,69,30.82,Rain,5,Yellow,0,None,Good,Tuesday
169,2023-08-29,06:23:00,Central,Crossroad,33,29.43,Snow,9,Red,0,None,Fair,Tuesday
170,2023-03-24,06:51:00,Central,Arterial,58,27.49,Fog,4,Green,0,None,Poor,Friday
171,2023-10-11,03:45:00,Central,Highway,133,65.95,Fog,3,Green,0,None,Good,Wednesday
172,2023-09-20,04:53:00,West,Highway,154,59.94,Rain,1,Red,0,None,Fair,Wednesday
173,2023-07-22,16:23:00,South,Crossroad,40,42.32,Clear,1,Red,0,None,Good,Saturday
174,2023-02-20,22:41:00,East,Arterial,21,20.74,Rain,8,Green,0,None,Fair,Monday
175,2023-03-13,22:30:00,West,Highway,135,77.87,Clear,4,Green,0,None,Fair,Monday
176,2023-10-08,23:38:00,Central,Crossroad,56,54.75,Clear,5,Red,0,None,Good,Sunday
177,2023-05-03,13:40:00,Central,Crossroad,67,38.4,Clear,10,Green,0,None,Fair,Wednesday
178,2023-11-20,16:36:00,South,Arterial,49,23.98,Fog,3,Red,0,None,Good,Monday
179,2023-08-02,05:42:00,North,Residential,49,37.11,Clear,9,Yellow,0,None,Poor,Wednesday
180,2023-09-17,17:01:00,West,Crossroad,56,31.73,Clear,6,Yellow,0,None,Fair,Sunday
181,2023-01-09,11:50:00,North,Residential,60,44.26,Rain,2,Yellow,0,None,Poor,Monday
182,2023-06-20,04:02:00,East,Residential,47,35.21,Rain,8,Yellow,0,None,Fair,Tuesday
183,2023-03-11,02:45:00,West,Highway,163,60.79,Fog,2,Green,0,None,Good,Saturday
184,2023-06-11,09:32:00,West,Crossroad,54,32.1,Fog,2,Green,0,None,Poor,Sunday
185,2023-01-25,20:21:00,East,Highway,151,57.82,Fog,4,Red,0,None,Fair,Wednesday
186,2023-07-17,10:11:00,West,Crossroad,50,35.98,Fog,1,Yellow,0,None,Fair,Monday
187,2023-02-10,13:38:00,South,Residential,79,39.67,Fog,3,Green,0,None,Good,Friday
188,2023-06-06,14:38:00,West,Arterial,93,25.86,Snow,1,Red,0,None,Fair,Tuesday
189,2023-06-30,19:27:00,East,Highway,167,81.83,Clear,7,Yellow,0,None,Poor,Friday
190,2023-12-14,05:01:00,South,Crossroad,93,31.92,Clear,4,Green,0,None,Good,Thursday
191,2023-07-07,11:24:00,Central,Highway,133,59.2,Rain,6,Yellow,0,None,Fair,Friday
192,2023-02-09,18:08:00,Central,Residential,7,27.79,Snow,5,Red,0,None,Poor,Thursday
193,2023-02-28,00:47:00,South,Crossroad,34,33.2,Snow,5,Yellow,0,None,Good,Tuesday
194,2023-12-27,14:13:00,Central,Residential,56,47.01,Snow,3,Green,0,None,Good,Wednesday
195,2023-08-20,05:57:00,West,Highway,169,59.38,Fog,1,Yellow,0,None,Fair,Sunday
196,2023-05-29,09:54:00,South,Arterial,32,35.94,Fog,1,Yellow,0,None,Good,Monday
197,2023-03-13,07:50:00,West,Highway,123,78.65,Fog,3,Yellow,0,None,Poor,Monday
198,2023-10-10,04:39:00,North,Highway,173,60.25,Fog,4,Red,0,None,Poor,Tuesday
199,2023-07-29,18:04:00,South,Residential,15,53.54,Clear,9,Red,0,None,Fair,Saturday
200,2023-10-10,20:37:00,South,Arterial,47,41.9,Snow,2,Yellow,0,None,Good,Tuesday
201,2023-06-05,05:10:00,East,Arterial,18,27.2,Fog,1,Yellow,0,None,Fair,Monday
202,2023-11-22,17:17:00,South,Residential,50,40.47,Clear,3,Yellow,0,None,Poor,Wednesday
203,2023-10-25,04:10:00,Central,Residential,40,46.23,Clear,1,Green,0,None,Good,Wednesday
204,2023-10-23,08:41:00,South,Crossroad,28,38.58,Clear,9,Red,0,None,Poor,Monday
205,2023-06-04,15:15:00,West,Residential,52,36.12,Snow,1,Green,1,Major,Poor,Sunday
206,2023-09-05,14:13:00,East,Arterial,64,23.0,Fog,3,Yellow,0,None,Fair,Tuesday
207,2023-03-08,11:32:00,Central,Highway,119,74.22,Fog,1,Green,0,None,Fair,Wednesday
208,2023-05-07,04:06:00,North,Residential,56,26.01,Snow,4,Yellow,0,None,Fair,Sunday
209,2023-03-23,10:59:00,Central,Residential,81,32.93,Rain,9,Green,0,None,Fair,Thursday
210,2023-06-07,15:01:00,North,Crossroad,73,32.54,Snow,10,Green,0,None,Good,Wednesday
211,2023-01-26,09:31:00,Central,Crossroad,91,46.04,Fog,1,Yellow,0,None,Good,Thursday
212,2023-05-16,23:23:00,West,Residential,45,49.72,Clear,10,Red,0,None,Good,Tuesday
213,2023-07-05,17:18:00,North,Crossroad,62,42.95,Snow,10,Yellow,0,None,Fair,Wednesday
214,2023-03-02,04:06:00,West,Residential,30,37.49,Fog,2,Yellow,0,None,Fair,Thursday
215,2023-09-18,12:32:00,North,Highway,171,62.41,Clear,6,Green,0,None,Poor,Monday
216,2023-09-23,14:09:00,Central,Arterial,26,15.69,Fog,2,Yellow,0,None,Fair,Saturday
217,2023-11-12,23:53:00,East,Residential,44,37.74,Snow,5,Yellow,0,None,Poor,Sunday
218,2023-01-09,11:21:00,North,Crossroad,80,32.59,Fog,1,Yellow,0,None,Poor,Monday
219,2023-05-16,20:50:00,Central,Arterial,82,26.2,Clear,3,Yellow,0,None,Fair,Tuesday
220,2023-11-14,12:09:00,South,Highway,115,79.44,Clear,8,Green,0,None,Good,Tuesday
221,2023-03-19,13:44:00,South,Crossroad,57,31.74,Snow,1,Yellow,0,None,Poor,Sunday
222,2023-09-23,06:35:00,East,Crossroad,8,31.29,Snow,8,Red,0,None,Good,Saturday
223,2023-06-25,17:22:00,East,Crossroad,23,37.36,Rain,9,Green,0,None,Fair,Sunday
224,2023-06-02,09:45:00,South,Crossroad,57,24.48,Fog,3,Red,0,None,Fair,Friday
225,2023-10-21,21:34:00,West,Crossroad,39,23.53,Fog,1,Green,0,None,Fair,Saturday
226,2024-01-01,02:22:00,West,Residential,48,39.64,Snow,9,Green,0,None,Good,Monday
227,2023-10-15,22:17:00,South,Highway,130,68.03,Rain,9,Green,0,None,Good,Sunday
228,2023-04-30,01:06:00,West,Residential,39,25.66,Snow,3,Green,1,Fatal,Poor,Sunday
229,2023-03-22,13:41:00,West,Crossroad,47,23.72,Rain,5,Red,0,None,Fair,Wednesday
230,2023-02-15,20:36:00,South,Highway,138,54.42,Rain,1,Red,0,None,Good,Wednesday
231,2023-07-23,15:11:00,East,Highway,189,80.35,Clear,10,Red,0,None,Poor,Sunday
232,2023-06-21,09:29:00,Central,Crossroad,36,33.71,Rain,5,Yellow,0,None,Fair,Wednesday
233,2023-02-27,10:10:00,West,Residential,47,30.23,Rain,6,Green,0,None,Poor,Monday
234,2023-10-18,21:48:00,South,Arterial,62,38.06,Snow,6,Red,1,Fatal,Poor,Wednesday
235,2023-02-18,05:08:00,West,Residential,39,27.39,Rain,7,Green,0,None,Fair,Saturday
236,2023-05-17,10:19:00,Central,Highway,144,45.58,Fog,2,Yellow,1,Minor,Fair,Wednesday
237,2023-08-27,09:10:00,West,Residential,19,53.67,Clear,6,Yellow,0,None,Fair,Sunday
238,2023-04-23,04:30:00,South,Crossroad,82,30.01,Fog,4,Red,0,None,Poor,Sunday
239,2023-12-07,06:48:00,South,Highway,161,66.49,Snow,6,Yellow,1,Fatal,Poor,Thursday
240,2023-02-27,01:53:00,Central,Arterial,111,40.96,Rain,9,Green,0,None,Fair,Monday
241,2023-12-15,06:45:00,Central,Crossroad,47,30.44,Clear,1,Yellow,0,None,Fair,Friday
242,2023-09-20,13:29:00,Central,Highway,117,65.63,Snow,1,Yellow,0,None,Fair,Wednesday
243,2023-01-02,23:13:00,Central,Highway,134,65.78,Clear,2,Red,0,None,Fair,Monday
244,2023-01-31,02:59:00,West,Highway,137,55.35,Fog,2,Red,0,None,Good,Tuesday
245,2023-11-27,13:23:00,West,Crossroad,83,39.05,Snow,9,Red,0,None,Good,Monday
246,2023-06-28,03:11:00,Central,Crossroad,49,43.84,Rain,1,Yellow,0,None,Good,Wednesday
247,2023-06-02,14:43:00,Central,Crossroad,51,25.11,Snow,8,Green,0,None,Good,Friday
248,2023-05-22,06:59:00,North,Highway,180,68.31,Snow,4,Yellow,0,None,Good,Monday
249,2023-02-21,19:02:00,West,Highway,129,62.48,Rain,7,Yellow,0,None,Good,Tuesday
250,2023-10-04,06:48:00,North,Arterial,32,20.94,Fog,3,Green,0,None,Poor,Wednesday
251,2023-12-11,10:15:00,East,Arterial,68,47.28,Rain,5,Red,1,Fatal,Fair,Monday
252,2023-03-31,20:43:00,West,Crossroad,22,45.63,Clear,7,Red,0,None,Poor,Friday
253,2023-06-13,22:26:00,West,Arterial,36,28.1,Fog,4,Red,0,None,Good,Tuesday
254,2023-04-26,09:54:00,South,Crossroad,38,31.36,Clear,7,Yellow,0,None,Fair,Wednesday
255,2023-03-10,12:15:00,East,Arterial,50,25.35,Fog,4,Yellow,0,None,Good,Friday
256,2023-02-17,17:46:00,South,Highway,155,63.6,Fog,1,Red,0,None,Poor,Friday
257,2023-04-07,18:46:00,Central,Arterial,45,24.74,Snow,5,Green,0,None,Fair,Friday
258,2023-01-08,06:59:00,South,Highway,138,70.04,Snow,10,Green,0,None,Poor,Sunday
259,2023-07-23,07:35:00,East,Residential,60,24.18,Snow,6,Red,0,None,Poor,Sunday
260,2023-07-04,16:56:00,West,Crossroad,51,47.51,Clear,6,Yellow,0,None,Fair,Tuesday
261,2023-07-09,10:26:00,North,Arterial,16,36.35,Rain,9,Green,0,None,Fair,Sunday
262,2023-10-24,23:26:00,East,Arterial,36,36.56,Rain,7,Red,0,None,Good,Tuesday
263,2023-05-06,15:35:00,East,Residential,34,17.56,Snow,8,Yellow,0,None,Poor,Saturday
264,2023-06-30,05:08:00,Central,Crossroad,17,32.38,Rain,1,Yellow,0,None,Poor,Friday
265,2023-02-08,21:03:00,North,Crossroad,55,24.77,Rain,2,Yellow,0,None,Good,Wednesday
266,2023-01-05,06:32:00,West,Residential,62,23.38,Clear,10,Yellow,0,None,Poor,Thursday
267,2023-12-04,15:01:00,North,Crossroad,48,27.89,Clear,5,Green,0,None,Poor,Monday
268,2023-05-27,00:32:00,West,Arterial,36,40.47,Clear,3,Green,0,None,Poor,Saturday
269,2023-11-14,16:16:00,East,Residential,32,28.92,Snow,7,Green,0,None,Fair,Tuesday
270,2023-05-05,22:14:00,East,Highway,170,74.23,Clear,7,Green,0,None,Fair,Friday
271,2023-09-01,01:40:00,North,Arterial,66,28.7,Clear,6,Red,0,None,Fair,Friday
272,2023-02-18,16:58:00,North,Arterial,60,43.53,Rain,8,Yellow,0,None,Poor,Saturday
273,2023-02-08,21:59:00,East,Highway,100,57.62,Rain,4,Red,0,None,Good,Wednesday
